id,name,department,current_shift
1,Kelly Russell,Support,morning
2,Jaime Ramirez,HR,morning
3,Kari Smith,IT,morning
4,Angela Smith,Sales,evening
5,David Hobbs,HR,morning
6,Wesley Rogers,HR,morning
7,Dave Brown,Support,evening
8,Morgan Turner MD,Finance,night
9,Matthew Lopez,Sales,evening
10,Nicole Benjamin,IT,evening
11,Tammy Evans,IT,night
12,Alan Bowman,Finance,night
13,John Hines,HR,night
14,Kaitlyn Foster,HR,evening
15,Kayla Cunningham,Finance,morning
16,Alan Moore,Sales,morning
17,Roberta Carrillo,Finance,evening
18,Nancy Hines,IT,morning
19,Tanya Hunter,Finance,evening
20,Kristina Martinez,Finance,morning
21,Matthew Smith,Support,morning
22,Kimberly Thompson,Sales,evening
23,Michele Long,IT,night
24,Rebecca Gardner,IT,night
25,John Russell,HR,evening
26,Anna Martinez,HR,evening
27,Alvin Brock,HR,evening
28,Scott Olson,Support,morning
29,Sarah Johnson,IT,evening
30,Richard Acosta,Support,morning
31,Steven Murphy,IT,night
32,Christina Aguirre,HR,evening
33,Melinda Smith,IT,morning
34,Christopher Cook,IT,morning
35,Amy Bowman,HR,morning
36,Kaitlyn Stokes,HR,morning
37,Kristin Le,HR,evening
38,Michael Brooks,Finance,evening
39,Jon Mcmillan,Support,morning
40,Jeffrey Meyer,Support,night
41,Daniel Pena,Sales,morning
42,Victoria Blankenship,Support,evening
43,Tiffany Carlson,Sales,night
44,Austin Henson DDS,Finance,evening
45,Alicia Chavez,Support,morning
46,Mr. Joshua Moss,HR,night
47,Charles Smith,HR,evening
48,Lisa Webb,Support,night
49,Megan Willis,Finance,night
50,Kimberly Willis,Finance,night
51,Wendy Kennedy,Sales,night
52,Paul Hernandez,Support,evening
53,Lynn Mendoza,IT,morning
54,Patrick Anderson,Finance,evening
55,Richard Davis,Support,night
56,Eric Lamb,Support,evening
57,Aaron Lucas,Sales,evening
58,Zachary Palmer,Support,morning
59,Nathan Mitchell,HR,evening
60,Denise Ellis,Finance,evening
61,Mark Adams,Sales,morning
62,Walter Buck,Finance,night
63,Daniel Rubio,HR,night
64,Ashley Rios,Finance,evening
65,Sandra Chung,HR,morning
66,Christopher Harper,Support,evening
67,Robert Smith,HR,evening
68,Matthew Kelly,HR,night
69,Joseph Torres,Sales,evening
70,Ryan Reed,IT,night
71,Jack Walker,HR,morning
72,Mrs. Pamela James MD,Sales,morning
73,Marie Dickerson,HR,morning
74,Cody Smith,Sales,night
75,Dr. David Hart,IT,morning
76,Lisa Richard,HR,morning
77,Michael Anderson,Support,night
78,Krista Reed,HR,morning
79,Chelsea Schneider,HR,evening
80,Christopher Williams,HR,evening
81,Heather Mooney,HR,evening
82,Steven Sims,IT,morning
83,Jennifer Wood,HR,morning
84,Jose Cooper,Finance,evening
85,Jack Ross,Support,morning
86,Michelle Monroe,Finance,night
87,Brandon Craig,Sales,morning
88,Monica Chung,Finance,night
89,Joshua Lee,Support,morning
90,Brianna Wagner,IT,night
91,Beth Fowler,Finance,morning
92,Mr. David Walker,HR,evening
93,James Clark,Sales,night
94,Jamie Patton,HR,evening
95,Gary Sweeney,IT,evening
96,Marc Stokes,Sales,morning
97,Mary Young,Support,night
98,Jennifer Powell,Sales,morning
99,Jacob Jackson,Support,night
100,Eric Roman,Support,evening
101,Kaitlyn Roberts,IT,night
102,Sara Lawrence,Sales,morning
103,Daniel Jones,HR,morning
104,Paul Bryan,IT,morning
105,Alicia Stewart,HR,morning
106,Richard Heath,Finance,morning
107,Michele Armstrong,Sales,night
108,Craig Flores,IT,morning
109,Sarah Jones,Finance,evening
110,Sydney Foster,HR,morning
111,Shane Randall,Sales,evening
112,Lawrence Winters,Finance,night
113,Linda Mcmahon,HR,morning
114,Christopher Davis,Sales,morning
115,Jon Caldwell,IT,night
116,Katelyn Brady,Sales,night
117,Christina Gonzales,IT,night
118,Jack Mckinney,Support,morning
119,Eric Reynolds,Finance,morning
120,Tyler Stone,Sales,night
121,Kyle Ward,Sales,evening
122,Craig Cole,Sales,night
123,Brittany Thompson,Support,night
124,Roger Gross,HR,evening
125,Christopher Simon,IT,night
126,William Blevins,Sales,night
127,Marcus Hill DVM,HR,night
128,Mitchell Long,IT,night
129,John Newton,Finance,night
130,Katelyn Moody,Sales,evening
131,Kyle Johnson,Sales,morning
132,Melanie Blackburn,Finance,evening
133,Craig Price,Support,evening
134,Nicole Jones,HR,evening
135,Jerome Huang,HR,morning
136,Antonio Smith,IT,evening
137,Jonathan Brown,IT,morning
138,William Garcia,Finance,morning
139,Donna Johnson,Support,night
140,Colleen Williams,HR,morning
141,John Santos,Sales,night
142,Bruce Hale,Support,morning
143,Amanda Williams,HR,night
144,Alicia Nunez,Finance,evening
145,Devin Nguyen,IT,evening
146,Michael Pena,Support,morning
147,Audrey Leonard,Support,night
148,Leslie Nelson,Sales,morning
149,Julia Moran,HR,night
150,Glenn Bennett,IT,night
151,Karen Mercer,IT,evening
152,Tina Rodriguez,HR,evening
153,Abigail Chase,Support,morning
154,Michelle Frye,Finance,evening
155,Christopher Mcneil,Sales,night
156,Melinda Gilbert,Finance,evening
157,Bryan Davis,Support,morning
158,Thomas Rodriguez,Support,morning
159,Robert Pruitt,IT,night
160,Bianca Chambers,HR,morning
161,Micheal Harris,Sales,evening
162,Samantha Martinez,Sales,morning
163,Tyler Williams,Support,morning
164,Heather Richardson,Support,night
165,Joseph Conley,Sales,night
166,Richard Wilson,HR,night
167,Sara Smith,Finance,night
168,Dr. Ryan Taylor DDS,Finance,evening
169,Donald Henderson,Sales,evening
170,Tyler Martinez,HR,morning
171,Michael Ortiz,Sales,night
172,Mrs. Amy Allen,Finance,night
173,Richard Silva MD,IT,evening
174,Linda Wolf,IT,night
175,Eric Morris,HR,morning
176,Jessica Torres,HR,evening
177,Elizabeth Robinson,Finance,evening
178,Tammy Garcia,Sales,morning
179,Claire Morris,Sales,morning
180,Linda Sanchez,HR,night
181,Kenneth Crawford,Finance,night
182,Gabriel Herring,HR,morning
183,Kristin Flores,HR,morning
184,Kristen Bright,Sales,morning
185,Lauren Stanley MD,Sales,evening
186,Anita Allen,Finance,night
187,Valerie Weaver,HR,morning
188,Jennifer Ford,Support,evening
189,Jacob Ayers,Sales,evening
190,William Hawkins,Support,evening
191,Autumn Schmidt,Sales,morning
192,Mr. Samuel Henderson,HR,night
193,Kristin Palmer,IT,morning
194,Kyle Newton,Sales,night
195,Jermaine Austin,HR,night
196,Joshua Anderson,Support,night
197,Adam Castro,Sales,evening
198,Daniel Curry,Finance,evening
